multDepth,scalSize,firstModSize,securityLevel,batchSize,ringDim,Avg Encrypted Accuracy,Avg Non-Encrypted Accuracy,Avg Encrypted Time,Avg Non-Encrypted Time
1,30,60,128,1024,16384,0.966666667,0.966666667,0.64136745,0.000667243
2,30,60,128,1024,16384,0.966666667,0.966666667,0.787677402,0.000633757
3,30,60,128,1024,16384,0.966666667,0.966666667,0.923607256,0.000703378
4,30,60,128,1024,16384,0.966666667,0.966666667,1.099951558,0.000676072
5,30,60,128,1024,16384,0.966666667,0.966666667,1.255906563,0.000617406
1,10,60,128,1024,16384,0.817333333,0.966666667,0.64962481,0.000667078
1,20,60,128,1024,16384,0.966666667,0.966666667,0.671561592,0.000650456
1,30,60,128,1024,16384,0.966666667,0.966666667,0.651686509,0.000732696
1,40,60,128,1024,16384,0.966666667,0.966666667,0.650494006,0.000629153
1,50,60,128,1024,16384,0.966666667,0.966666667,0.65026258,0.000627437
1,30,20,128,1024,16384,0.966666667,0.966666667,0.627083161,0.000675941
1,30,30,128,1024,16384,0.966666667,0.966666667,0.632093778,0.000667195
1,30,40,128,1024,16384,0.966666667,0.966666667,0.634832029,0.000674078
1,30,50,128,1024,16384,0.966666667,0.966666667,0.643827841,0.000645027
1,30,60,128,1024,16384,0.966666667,0.966666667,0.64136745,0.000667243
1,30,60,128,1024,32768,0.966666667,0.966666667,0.387687478,0.000194399
1,30,60,128,1024,65536,0.966666667,0.966666667,0.739525633,0.000206904
1,30,60,128,1024,131072,0.966666667,0.966666667,0.73952563,0.000209022
1,30,60,192,1024,16384,0.966666667,0.96666667,0.200397613,0.000183706
1,30,60,256,1024,16384,0.966666667,0.966666667,0.197496541,0.000188167
1,30,60,512,1024,16384,0.966666667,0.966666667,0.200708804,0.000190744
1,30,60,1024,1024,16384,0.966666667,0.966666667,0.197649634,0.000193069
1,30,60,2048,1024,16384,0.966666667,0.966666667,0.202360585,0.000192935
1,30,60,128,128,16384,0.966666667,0.966666667,0.197996819,0.000189948
1,30,60,128,256,16384,0.966666667,0.966666667,0.19503721,0.000187397
1,30,60,128,512,16384,0.966666667,0.966666667,0.196125846,0.000191777
1,30,60,128,1024,16384,0.966666667,0.966666667,0.64136745,0.000667243
1,30,60,128,2048,16384,0.966666667,0.966666667,0.205773449,0.000196366
1,30,60,128,4096,16384,0.966666667,0.966666667,0.213690372,0.000190411
